perturbation,e_distance,e_pval,n_cells,n_donors,viability_ratio,note,e_qval,viability_flag,target_fc,on_target_ok,gate_sig,gate_viable,passes_gates
CD3D,9.416754118062897,0.000999000999000999,855,2,0.858003010536018,,0.00333000333000333,False,,,True,True,True
LCP2,6.645238698017863,0.000999000999000999,977,2,0.9804315102850172,,0.00333000333000333,False,,,True,True,True
RASA2,4.302434293899864,0.000999000999000999,901,2,0.9041645760151489,,0.00333000333000333,False,,,True,True,True
CBLB,4.072965147204343,0.000999000999000999,1314,2,1.3186151530343015,,0.00333000333000333,False,0.9913558038112065,,True,True,True
CD5,3.8518008747444696,0.000999000999000999,1074,2,1.0777722027084016,,0.00333000333000333,False,,,True,True,True
TCEB2,3.6576874630422367,0.000999000999000999,928,2,0.9312594079268126,,0.00333000333000333,False,,,True,True,True
CDKN1B,1.7932375301565457,0.012987012987012988,747,2,0.7496236828893632,,0.03246753246753247,False,,,True,True,True
DGKA,0.6104589956358382,0.00999000999000999,2289,2,2.297039638733269,,0.02854288568574283,False,0.9174379036805106,,True,True,True
ARID1A,0.8203271787709241,0.09290709290709291,621,2,0.6231811339682658,,0.1689219871038053,False,,,False,True,False
LAG3,0.6048329098708223,0.06693306693306693,838,2,0.8409433015546002,,0.14874014874014874,False,0.7863178900223395,,False,True,False
PDCD1,0.3579817835456538,0.08591408591408592,1477,2,1.4821876567973085,,0.1689219871038053,False,,,False,True,False
DGKZ,0.30552500513869063,0.14085914085914086,1016,2,1.0195684897129758,,0.2167063705525244,False,,,False,True,False
TNFRSF9,0.2565269618479533,0.1848151848151848,775,2,0.7777220270940515,,0.26402169259312114,False,1.3576640187365547,,False,True,False
BTLA,0.24383735469638168,0.12787212787212787,1408,2,1.4129453085786121,,0.21312021312021312,False,,,False,True,False
HAVCR2,0.17148554559207696,0.2047952047952048,1352,2,1.3567486201692356,,0.2730602730602731,False,0.942740800476564,,False,True,False
MEF2D,-0.06475987381622872,0.43156843156843155,1020,2,1.0235825388850741,,0.5394605394605394,False,,,False,True,False
TMEM222,-0.09989996031902137,0.5654345654345654,1421,2,1.4259909683879317,,0.6493506493506493,False,,,False,True,False
C10orf54,-0.14781021793868376,0.5844155844155844,1057,2,1.0607124937269838,,0.6493506493506493,False,0.8622240598742769,,False,True,False
SOCS1,-0.3047583522849209,0.7552447552447552,829,2,0.8319116909173789,,0.7552447552447552,False,1.227744827889955,,False,True,False
STAT6,-0.3902584026619138,0.7032967032967034,569,2,0.5709984947309875,,0.7403123192596878,False,,,False,True,False
