perturbation,direction_score,direction_sign_agreement,direction_n_donors,direction_per_donor
NAA10,-1.248795564739546,True,1,-1.2488
NKAP,-1.1825974294499166,True,1,-1.1826
HNRNPL,-1.1114136576421016,True,1,-1.1114
IL2RG,-1.0733165830564713,True,1,-1.0733
ADSS,-1.0450756573756745,True,1,-1.0451
MCL1,-1.042605845107714,True,1,-1.0426
KARS,-1.035088098941492,True,1,-1.0351
SEPHS2,-0.8782292206820108,True,1,-0.8782
DGCR8,-0.862613753620453,True,1,-0.8626
PALB2,-0.8507666176717709,True,1,-0.8508
TRMT5,-0.8377381001128766,True,2,-1.1640;-0.5114
MED9,-0.8148422937503681,True,2,-0.9860;-0.6436
DPP7,-0.8000964917784341,True,1,-0.8001
SPOUT1,-0.7909727413323728,True,2,-0.4361;-1.1458
CAPZB,-0.7791248762240509,True,1,-0.7791
ILF2,-0.7745228981335415,True,1,-0.7745
NUP214,-0.7688310269593384,True,1,-0.7688
LCP2,-0.7582315931996088,True,2,-1.0547;-0.4617
TAMM41,-0.7553036026530956,True,1,-0.7553
RIOK2,-0.7036980264785231,True,1,-0.7037
EIF2B2,-0.703506829224704,True,1,-0.7035
GMPPB,-0.6993765268337784,True,2,-0.9124;-0.4863
CD3G,-0.6980521920818432,True,2,-0.8949;-0.5012
DNTTIP2,-0.6894246769321153,True,1,-0.6894
CCT2,-0.6763222540918876,True,1,-0.6763
RSL1D1,-0.6741167154185246,True,1,-0.6741
JAK1,-0.6657984439737815,True,1,-0.6658
CD3D,-0.6626816273194278,True,2,-0.9750;-0.3504
CD3E,-0.661904563561555,True,2,-0.9381;-0.3857
AARS,-0.6611814348542683,True,1,-0.6612
PLCG1,-0.6605333630921706,True,2,-0.8113;-0.5098
NOP2,-0.6391449298129297,True,1,-0.6391
LAT,-0.6350032385481219,True,2,-0.8233;-0.4467
ZAP70,-0.6272267957372919,True,2,-0.7969;-0.4575
SMC2,-0.6197449789268413,True,1,-0.6197
SMARCD3,-0.6163005356001533,True,2,-0.8359;-0.3967
PSTK,-0.6154109929951601,True,1,-0.6154
NOL12,-0.6153709172339732,True,2,-1.0673;-0.1635
NDUFA1,-0.6046311672361655,True,1,-0.6046
DAD1,-0.5996509554143081,True,2,-0.8274;-0.3719
VAV1,-0.5921438378987751,True,2,-0.7848;-0.3995
GPATCH1,-0.5910583316009624,True,1,-0.5911
SRP9,-0.5870722725009685,True,2,-0.8904;-0.2838
CPNE1,-0.5863981454709952,True,2,-1.1710;-0.0018
ORC5,-0.5842843723547387,True,2,-0.5304;-0.6382
GEMIN2,-0.5839761508127022,True,2,-0.6765;-0.4914
MRTO4,-0.5795013283405563,True,2,-0.5181;-0.6409
GNPNAT1,-0.5713597904563466,True,2,-0.7029;-0.4398
SMARCE1,-0.5545346906684179,True,2,-0.6365;-0.4726
ZBED3,-0.5544545419436817,True,2,-0.6606;-0.4483
RPS17,-0.5517505398612608,True,1,-0.5518
TUBGCP2,-0.5510981262046085,True,1,-0.5511
SENP6,-0.5493470524632696,True,1,-0.5493
ATRIP,-0.5483231481169094,True,1,-0.5483
RUVBL2,-0.5459089648748146,True,1,-0.5459
GSPT1,-0.5385122549207988,True,1,-0.5385
LCK,-0.5295273258000488,True,2,-0.7772;-0.2818
PGD,-0.5280755033784446,True,2,-0.8454;-0.2107
EIF2S2,-0.5226327652362887,True,1,-0.5226
GMIP,-0.5199954128614286,True,2,-0.4253;-0.6147
SON,-0.5193340126833639,True,2,-0.7170;-0.3216
EIF3M,-0.5170026312293152,True,2,-0.7049;-0.3291
POLR3F,-0.5153295474584073,False,2,-1.0628;0.0322
RINT1,-0.5138968773509384,True,1,-0.5139
TIMM22,-0.5128112285676616,True,2,-0.2776;-0.7480
PRDM10,-0.510358248853247,True,2,-0.5913;-0.4294
NMNAT1,-0.5082281375652988,True,1,-0.5082
CCT6A,-0.5057210756926867,True,1,-0.5057
EXOC4,-0.5057188698582257,True,2,-0.3333;-0.6781
TUBA1B,-0.5046256816069896,True,1,-0.5046
INTS3,-0.503703129145977,True,1,-0.5037
