gene,ppr,is_seed,is_gated_hit,e_distance,e_qval,degree,enrichment,n_seed_nbrs,seed_weight_sum,seed_neighbors,is_sig_causal
BLNK,0.0004208919184655,False,False,,,36,5.5401067912242885,5,4.6,VAV1(1.00);SYK(1.00);ZAP70(0.91);PLCG1(0.85);LAT(0.84),False
COPS8,0.0002856524741237,False,False,,,32,4.229977543383497,4,3.39,PLCG1(0.90);TESPA1(0.90);ELOB(0.87);LAT(0.72),False
GPS1,0.0002882100100768,False,False,,,34,4.016799863970392,4,3.472,ELOB(0.94);PLCG1(0.91);TESPA1(0.90);LAT(0.72),False
XRCC5,0.0010227731109871,False,False,,,130,3.728086664402794,4,3.465,LIG3(0.96);KDM1A(0.92);RAD50(0.81);XRRA1(0.77),False
COPS2,0.000290102775081,False,False,,,39,3.524823102561917,4,3.368,PLCG1(0.91);TESPA1(0.90);ELOB(0.84);LAT(0.72),False
VAV2,0.0003572881954239,False,False,,,49,3.455195597623885,5,4.72,SYK(0.99);PLCG1(0.95);ZAP70(0.94);ITK(0.93);VAV1(0.91),False
COPS3,0.000291145384673,False,False,,,40,3.4490537995293717,4,3.406,PLCG1(0.91);TESPA1(0.90);ELOB(0.88);LAT(0.72),False
NCR1,0.0004190355437362,False,False,,,76,2.6126866151953263,6,4.853,CD247(1.00);CD244(0.88);BCL11B(0.79);PTPRC(0.73);SLAMF7(0.73);CD3E(0.71),False
COPS6,0.0002982036655879,False,False,,,58,2.436323947853255,4,3.418,PLCG1(0.91);TESPA1(0.90);ELOB(0.89);LAT(0.72),False
FCGR1A,0.0002647948813912,False,False,,,55,2.281376409019225,4,3.5,SYK(0.99);CD247(0.87);CD3G(0.84);PTPRC(0.81),False
UBA1,0.0002838503996729,False,False,,,67,2.007542543120095,4,3.762,UBE2L3(1.00);UBE2B(0.99);UBE2E2(0.97);UBE2I(0.80),False
IL2RB,0.0002691908763591,False,False,,,73,1.7473806667333516,5,3.998,CD247(0.92);STAT3(0.87);ITK(0.80);PTPRC(0.71);CD3D(0.70),False
BECN1,0.0005150213828854,False,False,,,147,1.660190697238722,4,3.695,RB1CC1(1.00);PIK3R4(1.00);GLIPR2(0.89);STAT3(0.80),False
