gene,ppr,is_seed,is_gated_hit,e_distance,e_qval,degree,enrichment,n_seed_nbrs,seed_weight_sum,seed_neighbors,is_sig_causal
ZAP70,0.014250030317365424,True,True,73.26999860624855,0.0011657389743494,89,75.8710041144582,11,10.483,CD247(1.00);LAT(1.00);VAV1(1.00);CD3D(1.00);CD3E(1.00);CD3G(0.99),True
CD3E,0.012822621552190473,True,True,65.74563973146587,0.0011657389743494,65,93.47888382647658,10,9.036,CD3D(1.00);CD3G(1.00);CD247(1.00);ZAP70(1.00);SYK(1.00);ITK(0.94),True
CD3G,0.011915213569415722,True,True,61.03920155267296,0.0011657389743494,42,134.431978619127,10,9.118,CD3D(1.00);CD3E(1.00);CD247(1.00);ZAP70(0.99);SYK(0.99);ITK(0.91),True
PLCG1,0.011688216787354525,True,True,58.262092145942965,0.0011657389743494,173,32.01490408587176,13,12.264,LAT(1.00);VAV1(1.00);SYK(1.00);ITK(1.00);RASGRP1(0.96);ZAP70(0.96),True
LAT,0.010520355445234346,True,True,52.203835531358656,0.0011657389743494,42,118.69465788758922,11,9.978,PLCG1(1.00);ZAP70(1.00);VAV1(0.98);SYK(0.98);ITK(0.95);LAT2(0.92),True
VAV1,0.009538077233044086,True,True,49.44887193348546,0.0011657389743494,86,52.55480555407292,8,7.554,ZAP70(1.00);SYK(1.00);PLCG1(1.00);ITK(1.00);LAT(0.98);WAS(0.96),True
CD3D,0.009442526353115903,True,True,47.19681366314343,0.0011657389743494,53,84.42331203183966,10,9.179,CD3G(1.00);CD247(1.00);CD3E(1.00);ZAP70(1.00);ITK(0.94);SYK(0.94),True
ZBED3,0.00866434530772549,True,True,46.48676940233417,0.0011657389743494,5,821.1373335037601,0,0.0,,True
CFAP298,0.006456957081509692,True,True,35.03853558800539,0.0011657389743494,13,235.36105251109097,0,0.0,,True
CD247,0.00641421630389675,True,True,29.42079848952453,0.0011657389743494,87,34.9360981352243,12,11.298,ZAP70(1.00);CD3D(1.00);CD3E(1.00);CD3G(1.00);SYK(1.00);TNFRSF9(0.99),True
RB1CC1,0.006339360241409472,True,True,34.375732891919625,0.0011657389743494,61,49.24539744252938,2,1.9849999999999999,CALCOCO2(1.00);PIK3R4(0.99),True
ITK,0.006135480942624923,True,True,28.08714156243284,0.0011657389743494,57,51.00629823635519,14,12.353,VAV1(1.00);PLCG1(1.00);CD247(0.95);LAT(0.95);CD3D(0.94);CD3E(0.94),True
SENP5,0.005626895385013481,True,True,30.87719524340393,0.0011657389743494,13,205.10466516480676,1,0.758,UBE2I(0.76),True
RASGRP1,0.005223886990401412,True,True,28.148535464307884,0.0011657389743494,22,112.51777678507334,2,1.6869999999999998,PLCG1(0.96);ITK(0.72),True
SYK,0.005108513582075745,True,True,20.83304096053358,0.0011657389743494,144,16.810557263905643,14,12.853,VAV1(1.00);PLCG1(1.00);CD3E(1.00);CD247(1.00);CD3G(0.99);STAT3(0.98),True
UBE2E2,0.005099968608190866,True,True,28.011447677040188,0.0011657389743494,21,115.07957736558684,0,0.0,,True
ATP8B1,0.005053588108256284,True,True,27.15918765602849,0.0011657389743494,12,199.55777174819355,0,0.0,,True
