perturbation,e_distance,e_pval,n_cells,n_donors,viability_ratio,note,e_qval,viability_flag,target_fc,on_target_ok,gate_sig,gate_viable,passes_gates,n_signif_kd,n_guides_kd,kd_confirmed,best_kd_rank,kd_gated_hit,direction_score,direction_sign_agreement,direction_n_donors,direction_per_donor,direction_tier
ZAP70,73.26999860624855,0.0009990009990009,123,2,0.5642201834836504,,0.0011657389743494,False,0.0847685693079322,True,True,True,True,2,2,True,12293.0,True,-0.6272267957372919,True,2,-0.7969;-0.4575,required-machinery
CD3E,65.74563973146587,0.0009990009990009,119,2,0.5458715596305236,,0.0011657389743494,False,,,True,True,True,1,2,True,12407.0,True,-0.661904563561555,True,2,-0.9381;-0.3857,required-machinery
CD3G,61.03920155267296,0.0009990009990009,160,2,0.7339449541250737,,0.0011657389743494,False,0.058324141505376,True,True,True,True,2,2,True,11179.0,True,-0.6980521920818432,True,2,-0.8949;-0.5012,required-machinery
PLCG1,58.262092145942965,0.0009990009990009,170,2,0.7798165137578907,,0.0011657389743494,False,0.1123631387144794,True,True,True,True,2,2,True,10723.0,True,-0.6605333630921706,True,2,-0.8113;-0.5098,required-machinery
LAT,52.203835531358656,0.0009990009990009,259,2,1.188073394489963,,0.0011657389743494,False,0.1131855601615495,True,True,True,True,2,2,True,12280.0,True,-0.6350032385481219,True,2,-0.8233;-0.4467,enhancer
VAV1,49.44887193348546,0.0009990009990009,228,2,1.04587155962823,,0.0011657389743494,False,0.0384820998573993,True,True,True,True,2,2,True,9881.0,True,-0.5921438378987751,True,2,-0.7848;-0.3995,enhancer
CD3D,47.19681366314343,0.0009990009990009,151,2,0.6926605504555383,,0.0011657389743494,False,,,True,True,True,2,2,True,12464.0,True,-0.6626816273194278,True,2,-0.9750;-0.3504,required-machinery
ZBED3,46.48676940233417,0.0009990009990009,214,2,0.981651376142286,,0.0011657389743494,False,,,True,True,True,2,2,True,2101.0,True,-0.5544545419436817,True,2,-0.6606;-0.4483,enhancer
CFAP298,35.03853558800539,0.0009990009990009,192,2,0.8807339449500884,,0.0011657389743494,False,,,True,True,True,2,2,True,11550.0,True,0.5248533670622214,False,2,-0.2958;1.3455,brake
RB1CC1,34.375732891919625,0.0009990009990009,219,2,1.0045871559586943,,0.0011657389743494,False,,,True,True,True,2,2,True,7426.0,True,-0.1324174294881242,False,2,0.0307;-0.2955,enhancer
SENP5,30.877195243403932,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,9635.0,True,-0.2406150336501932,True,2,-0.4783;-0.0029,enhancer
CD247,29.42079848952453,0.0009990009990009,268,2,1.2293577981594983,,0.0011657389743494,False,0.2217625505461928,True,True,True,True,2,2,True,11820.0,True,-0.4910185320314056,True,2,-0.6102;-0.3718,enhancer
RASGRP1,28.148535464307884,0.0009990009990009,219,2,1.0045871559586943,,0.0011657389743494,False,0.3959725141840174,True,True,True,True,2,2,True,11781.0,True,0.0179447946649773,False,2,-0.0160;0.0519,neutral
ITK,28.08714156243284,0.0009990009990009,248,2,1.137614678893864,,0.0011657389743494,False,0.629491833849075,True,True,True,True,2,2,True,12438.0,True,-0.324870944874502,True,2,-0.3747;-0.2750,enhancer
UBE2E2,28.011447677040188,0.0009990009990009,223,2,1.0229357798118217,,0.0011657389743494,False,,,True,True,True,2,2,True,5594.0,True,-0.4429380371276407,True,2,-0.6270;-0.2588,enhancer
ATP8B1,27.15918765602849,0.0009990009990009,243,2,1.1146788990774557,,0.0011657389743494,False,1.0,False,True,True,True,2,2,True,2027.0,True,-0.259126058146349,True,2,-0.0266;-0.4916,enhancer
ZNF92,26.662303127152555,0.0009990009990009,267,2,1.2247706421962168,,0.0011657389743494,False,,,True,True,True,2,2,True,6243.0,True,-0.1635583035852212,True,2,-0.0114;-0.3157,enhancer
SMAD3,25.113090918493832,0.0009990009990009,298,2,1.3669724770579497,,0.0011657389743494,False,0.5266266806801868,True,True,True,True,2,2,True,10289.0,True,0.0620495328106541,False,2,-0.1337;0.2578,brake
KPNA1,23.744489867348623,0.0009990009990009,247,2,1.1330275229305824,,0.0011657389743494,False,,,True,True,True,2,2,True,10874.0,True,-0.2169501515677601,True,2,-0.1578;-0.2761,enhancer
TMED9,23.57950800557712,0.0009990009990009,113,2,0.5183486238508332,,0.0011657389743494,False,,,True,True,True,2,2,True,10382.0,True,-0.2775543633988606,True,2,-0.4110;-0.1441,required-machinery
FBXO32,23.109810443286072,0.0009990009990009,252,2,1.155963302746991,,0.0011657389743494,False,0.5269607487156761,True,True,True,True,1,2,True,3942.0,True,0.0759196398646491,False,2,-0.1060;0.2579,brake
LAT2,22.967108249721303,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,0.0109183024656392,True,True,True,True,2,2,True,4208.0,True,0.1994917405011861,False,2,-0.0890;0.4880,brake
TNNC1,21.85407724292338,0.0009990009990009,260,2,1.1926605504532448,,0.0011657389743494,False,,,True,True,True,1,2,True,2468.0,True,0.1785063928498709,True,2,0.1141;0.2429,brake
BCL11B,21.04631821170282,0.0009990009990009,156,2,0.7155963302719468,,0.0011657389743494,False,,,True,True,True,1,1,True,9359.0,True,0.232889655553975,True,2,0.3589;0.1069,brake
LTB4R,20.93741828316611,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,4730.0,True,-0.0807810990991788,True,2,-0.0274;-0.1342,enhancer
SMIM7,20.907422034631587,0.0009990009990009,187,2,0.8577981651336799,,0.0011657389743494,False,,,True,True,True,1,1,True,8698.0,True,0.0673568910501579,False,2,-0.3186;0.4533,brake
SYK,20.83304096053358,0.0009990009990009,230,2,1.0550458715547937,,0.0011657389743494,False,1.0,False,True,True,True,2,2,True,1919.0,True,-0.3414227501638133,True,2,-0.3347;-0.3481,enhancer
ADAM19,20.53589381768294,0.0009990009990009,181,2,0.8302752293539896,,0.0011657389743494,False,0.1916227718333382,True,True,True,True,2,2,True,12447.0,True,-0.0347585239654586,True,2,-0.0568;-0.0127,neutral
ZNF649,20.016371827837993,0.0009990009990009,210,2,0.9633027522891592,,0.0011657389743494,False,,,True,True,True,2,2,True,4952.0,True,0.2850901709235743,False,2,-0.2235;0.7936,brake
PXMP4,19.8145517557427,0.0009990009990009,276,2,1.266055045865752,,0.0011657389743494,False,,,True,True,True,2,2,True,3905.0,True,-0.0854058722107796,True,2,-0.0174;-0.1535,enhancer
MPI,19.47346749932396,0.0009990009990009,129,2,0.5917431192633407,,0.0011657389743494,False,,,True,True,True,2,2,True,8826.0,True,-0.4056858629108445,True,2,-0.5354;-0.2760,required-machinery
ATP2A2,19.46586246217271,0.0009990009990009,151,2,0.6926605504555383,,0.0011657389743494,False,,,True,True,True,2,2,True,11778.0,True,0.0557225289946959,True,2,0.0570;0.0544,brake
SIRT7,19.421572960251066,0.0009990009990009,240,2,1.1009174311876104,,0.0011657389743494,False,,,True,True,True,2,2,True,7917.0,True,0.146250555613971,False,2,-0.0592;0.3517,brake
HMGN5,19.268048556333916,0.0009990009990009,206,2,0.9449541284360324,,0.0011657389743494,False,0.3028068724783691,True,True,True,True,1,1,True,3559.0,True,0.0040730211674808,False,2,0.1249;-0.1168,neutral
MFHAS1,19.239290407257243,0.0009990009990009,239,2,1.096330275224329,,0.0011657389743494,False,,,True,True,True,2,2,True,10821.0,True,-0.0598394582055574,False,2,-0.2460;0.1263,enhancer
DOP1B,18.449439676964325,0.0009990009990009,294,2,1.348623853204823,,0.0011657389743494,False,,,True,True,True,2,2,True,4650.0,True,-0.03223899833939,False,2,0.1869;-0.2514,neutral
VIM,18.15920630889375,0.0009990009990009,272,2,1.2477064220126253,,0.0011657389743494,False,0.6214223170334473,True,True,True,True,2,2,True,12508.0,True,0.332386268352411,False,2,-0.0250;0.6897,brake
APMAP,18.13776620922383,0.0009990009990009,247,2,1.1330275229305824,,0.0011657389743494,False,,,True,True,True,2,2,True,9731.0,True,-0.0120043100932054,False,2,-0.1720;0.1480,neutral
TPD52,18.069621935104983,0.0009990009990009,140,2,0.6422018348594395,,0.0011657389743494,False,,,True,True,True,1,1,True,6544.0,True,-0.1181189672781783,True,2,-0.1059;-0.1304,required-machinery
NRBP1,17.908917178940534,0.0009990009990009,214,2,0.981651376142286,,0.0011657389743494,False,,,True,True,True,2,2,True,12063.0,True,0.0096519738762355,False,2,-0.0047;0.0240,neutral
NDRG1,17.571464073452397,0.0009990009990009,143,2,0.6559633027492846,,0.0011657389743494,False,,,True,True,True,2,2,True,3822.0,True,-0.1065759966512949,True,2,-0.1105;-0.1027,required-machinery
ICOS,17.233906874419155,0.0009990009990009,261,2,1.1972477064165263,,0.0011657389743494,False,0.0337592100551285,True,True,True,True,2,2,True,12487.0,True,0.13831832762877,True,2,0.0083;0.2684,brake
MBD5,17.17751444239569,0.0009990009990009,184,2,0.8440366972438348,,0.0011657389743494,False,,,True,True,True,2,3,True,3583.0,True,-0.3319225560593873,True,2,-0.3549;-0.3089,enhancer
ZMYM2,16.965811764377257,0.0009990009990009,264,2,1.2110091743063716,,0.0011657389743494,False,,,True,True,True,2,2,True,9326.0,True,0.5027180252358687,False,2,-0.0728;1.0783,brake
RAD50,16.852566969371487,0.0009990009990009,210,2,0.9633027522891592,,0.0011657389743494,False,1.1564658328178126,False,True,True,True,1,2,True,10630.0,True,0.0058414504747466,False,2,-0.2248;0.2365,neutral
FITM2,16.78594816981331,0.0009990009990009,179,2,0.8211009174274262,,0.0011657389743494,False,,,True,True,True,2,2,True,3762.0,True,-0.2338411252218193,True,2,-0.1613;-0.3064,enhancer
HMBS,16.777060637162393,0.0009990009990009,274,2,1.2568807339391888,,0.0011657389743494,False,,,True,True,True,2,2,True,8452.0,True,-0.071388864584231,True,2,-0.1078;-0.0350,enhancer
STAT3,15.88002115454465,0.0009990009990009,168,2,0.7706422018313274,,0.0011657389743494,False,,,True,True,True,2,2,True,11533.0,True,-0.2197100246020519,True,2,-0.3207;-0.1187,required-machinery
